Entry ID;Date;Field observer;Video observer;Configuration;Lek;Min of video/start;Min of video/end;Color code;ID #;Comments;Video file name;Video cut;Track analysis;Comment
101;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:05:50;00:06:11;RPG;203;;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h28m18s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
102;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:06:22;00:06:31;R;356;chased;Pers.Ctrl.SUR.2015.6.28.12.21;;#N/D!;
103;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:06:40;00:07:13;G;292;;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h31m51s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
104;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:09:29;00:09:39;R;356;chased?;Pers.Ctrl.SUR.2015.6.28.12.21;;#N/D!;
105;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:10:05;00:10:35;Y;301;;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h35m27s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
106;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:13:51;00:14:40;B;357;;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h38m05s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
107;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:19:49;00:20:21;R;356;;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h42m18s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
108;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:14:21;00:04:29;G;292;;Pers.Ctrl.SUR.2015.6.28.12.47;vlc-record-2015-06-28-16h48m19s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-;#N/D!;
109;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:06:20;00:06:49;BGW;143;;Pers.Ctrl.SUR.2015.6.28.12.47;vlc-record-2015-06-28-16h49m55s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-;#N/D!;
110;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:13:14;00:13:33;G;292;;Pers.Ctrl.SUR.2015.6.28.12.47;vlc-record-2015-06-28-16h53m05s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-;#N/D!;
111;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:14:42;00:14:57;UNTAG*;-40;chased;Pers.Ctrl.SUR.2015.6.28.12.47;;#N/D!;
112;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:23:03;00:23:27;UNTAG*;-40;;Pers.Ctrl.SUR.2015.6.28.12.47;vlc-record-2015-06-28-16h58m17s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-;#N/D!;
113;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:26:35;00:26:55;Y;301;;Pers.Ctrl.SUR.2015.6.28.12.47;vlc-record-2015-06-28-17h00m14s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-;#N/D!;
114;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:04:02;00:04:04;R;356;chased;Pers.Ctrl.SUR.2015.6.28.12.47;;#N/D!;
115;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:06:20;00:06:31;G;292;;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h18m05s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
116;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:07:22;00:08:18;R;356;;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h19m19s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
117;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:10:50;00:11:20;RPG;203;little hermit at another feeder, but does not seem to interfere;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h22m13s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
118;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:11:46;00:12:24;BGW;143;little hermit at another feeder, but does not seem to interfere;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h24m54s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
119;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:13:49;00:14:05;G;292;;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h27m43s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
120;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:18:08;00:18:40;Y;301;;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h37m10s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
121;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:20:13;00:20:33;UNTAG*;-40;;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h39m03s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
122;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:22:21;00:23:02;B;357;;Pers.Ctrl.SUR.2015.6.28.13.14;vlc-record-2015-06-28-17h41m01s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-;#N/D!;
123;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:03:30;00:04:10;G;292;;Pers.Ctrl.SUR.2015.6.28.13.43;vlc-record-2015-06-28-17h51m02s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-;#N/D!;
124;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:10:35;00:11:11;R;356;;Pers.Ctrl.SUR.2015.6.28.13.43;vlc-record-2015-06-28-17h54m06s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-;#N/D!;
125;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:12:07;00:12:14;BGW;143;chased;Pers.Ctrl.SUR.2015.6.28.13.43;;#N/D!;
126;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:12:25;00:12:47;UNTAG*;-40;chased at the end?;Pers.Ctrl.SUR.2015.6.28.13.43;vlc-record-2015-06-28-17h57m40s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-;#N/D!;
127;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:16:05;00:16:57;BGW;143;chased by little hermit;Pers.Ctrl.SUR.2015.6.28.13.43;;#N/D!;
128;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:20:58;00:21:18;RPG;203;;Pers.Ctrl.SUR.2015.6.28.13.43;vlc-record-2015-06-28-18h03m43s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-;#N/D!;
129;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:25:07;00:25:25;UNTAG*;-40;;Pers.Ctrl.SUR.2015.6.28.13.43;vlc-record-2015-06-28-18h06m22s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-;#N/D!;
130;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:06:55;00:07:24;Y;301;;Pers.Ctrl.SUR.2015.6.28.14.8;vlc-record-2015-06-28-18h12m10s-Pers.Ctrl.SUR.2015.6.28.14.8.MOV-;#N/D!;
131;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:12:33;00:13:17;G;292;;Pers.Ctrl.SUR.2015.6.28.14.8;vlc-record-2015-06-28-18h16m26s-Pers.Ctrl.SUR.2015.6.28.14.8.MOV-;#N/D!;
132;27-cze-15;KWJ;KWJ;Exp4;SUR Sura;00:08:49;00:08:40;R;356;;Pers.Exp.SUR.2015.6.28.14.33;vlc-record-2015-06-28-18h23m29s-Pers.Exp.SUR.2015.6.28.14.33.MOV-;#N/D!;
133;27-cze-15;KWJ;KWJ;Exp4;SUR Sura;00:10:08;00:10:38;UNTAG*;-40;;Pers.Exp.SUR.2015.6.28.14.33;vlc-record-2015-06-28-18h25m32s-Pers.Exp.SUR.2015.6.28.14.33.MOV-;#N/D!;
134;27-cze-15;KWJ;KWJ;Exp4;SUR Sura;00:15:58;00:16:16;RPG;203;;Pers.Exp.SUR.2015.6.28.14.33;vlc-record-2015-06-28-18h29m12s-Pers.Exp.SUR.2015.6.28.14.33.MOV-;#N/D!;
135;27-cze-15;KWJ;KWJ;Exp4;SUR Sura;00:17:38;00:18:02;Y;301;;Pers.Exp.SUR.2015.6.28.14.33;vlc-record-2015-06-28-18h31m33s-Pers.Exp.SUR.2015.6.28.14.33.MOV-;#N/D!;
136;27-cze-15;KWJ;KWJ;Exp4;SUR Sura;00:18:20;00:18:52;Y;301;fighting with little hermit;Pers.Exp.SUR.2015.6.28.14.33;;#N/D!;
137;27-cze-15;KWJ;KWJ;Exp4;SUR Sura;00:20:57;00:21:44;G;292;;Pers.Exp.SUR.2015.6.28.14.33;vlc-record-2015-06-28-18h35m23s-Pers.Exp.SUR.2015.6.28.14.33.MOV-;#N/D!;
138;27-cze-15;KWJ;KWJ;Exp4;SUR Sura;00:21:57;00:23:01;B;357;;Pers.Exp.SUR.2015.6.28.14.33;vlc-record-2015-06-28-18h37m13s-Pers.Exp.SUR.2015.6.28.14.33.MOV-;#N/D!;
139;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:02:55;00:03:14;UNTAG*;-40;;Pers.Ctrl.SUR.2015.6.25.6.50;vlc-record-2015-06-28-22h48m44s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-;#N/D!;
140;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:03:50;00:04:08;RPG;203;;Pers.Ctrl.SUR.2015.6.25.6.50;vlc-record-2015-06-28-22h50m38s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-;#N/D!;
141;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:11:36;00:12:06;UNTAG*;-40;;Pers.Ctrl.SUR.2015.6.25.6.50;vlc-record-2015-06-28-22h53m56s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-;#N/D!;
142;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:13:17;00:14:08;R;356;chased at the end but pretty long at the feeders;Pers.Ctrl.SUR.2015.6.25.6.50;vlc-record-2015-06-28-22h59m12s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-;#N/D!;
143;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:14:10;00:14:31;RBR;365;;Pers.Ctrl.SUR.2015.6.25.6.50;vlc-record-2015-06-28-23h01m11s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-;#N/D!;
144;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:16:24;00:17:03;Y;301;;Pers.Ctrl.SUR.2015.6.25.6.50;vlc-record-2015-06-28-23h03m29s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-;#N/D!;
145;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:21:35;00:21:48;RPG;203;;Pers.Ctrl.SUR.2015.6.25.6.50;vlc-record-2015-06-28-23h06m15s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-;#N/D!;
146;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:01:23;00:02:14;UNTAG*;-40;chased;Pers.Ctrl.SUR.2015.6.25.9.16;;#N/D!;
147;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:02:23;00:02:30;RBR;365;chased;Pers.Ctrl.SUR.2015.6.25.9.16;;#N/D!;
148;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:03:34;00:04:39;Y;301;chased;Pers.Ctrl.SUR.2015.6.25.9.16;;#N/D!;
149;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:11:20;00:11:40;RPG;203;chased?, and butterfy on other feeder;Pers.Ctrl.SUR.2015.6.25.9.16;;#N/D!;
150;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:12:51;00:13:48;G;292;butterfly, and little hermit around;Pers.Ctrl.SUR.2015.6.25.9.16;;#N/D!;
151;25-cze-15;KWJ;KWJ;Ctrl0;SUR Sura;00:14:45;00:15:14;R;356;chased;Pers.Ctrl.SUR.2015.6.25.9.16;;#N/D!;
